Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA
68,João Cancelo\bd6351cd,pt POR,DF,Manchester City,27,1994,36,36,3227,35.9,1,7,1,0,0,7,0,0.03,0.20,0.22,0.03,0.22,4.1,4.1,5.1,9.3
69,Sergi Canós\1137759d,es ESP,DF,Brentford,24,1997,31,25,2083,23.1,3,2,3,0,0,8,1,0.13,0.09,0.22,0.13,0.22,3.0,3.0,1.9,4.9
70,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,23,1998,8,5,441,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4
71,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,23,1997,38,38,3377,37.5,4,3,4,0,0,8,0,0.11,0.08,0.19,0.11,0.19,2.4,2.4,1.9,4.4
72,Timothy Castagne\197640fd,be BEL,DF,Leicester City,25,1995,27,22,2127,23.6,1,0,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04,0.8,0.8,1.3,2.1
73,Jonny Castro\e28868f3,es ESP,DF,Wolves,27,1994,13,10,1024,11.4,2,0,2,0,0,1,0,0.18,0.00,0.18,0.18,0.18,0.8,0.8,1.2,2.0
74,Craig Cathcart\89e4b358,nir NIR,DF,Watford,32,1989,31,27,2396,26.6,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.1,0.1,0.3,0.5
75,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,34,1987,15,7,766,8.5,2,1,2,0,0,0,0,0.23,0.12,0.35,0.23,0.35,3.4,3.4,1.4,4.7
76,Kayky Chagas\17734ea0,br BRA,FW,Manchester City,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
77,Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,22,1999,20,17,1449,16.1,3,1,3,0,0,2,0,0.19,0.06,0.25,0.19,0.25,1.0,1.0,0.2,1.2
78,Calum Chambers\dc6f5bdd,eng ENG,DF,Aston Villa,26,1995,11,9,831,9.2,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.2,0.2,0.1,0.4
79,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,26,1995,2,2,170,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1
80,Daniel Chesters\240c8ab6,eng ENG,MF,West Ham,19,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
81,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,24,1996,7,6,542,6.0,3,1,3,0,0,0,0,0.50,0.17,0.66,0.50,0.66,1.2,1.2,0.9,2.1
82,Chiquinho\dc6c2f02,pt POR,DFMF,Wolves,21,2000,8,1,208,2.3,0,3,0,0,0,0,0,0.00,1.30,1.30,0.00,1.30,0.3,0.3,0.6,0.9
83,Hamza Choudhury\7d2d3329,eng ENG,DFMF,Leicester City,23,1997,6,4,285,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
84,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25,1996,19,17,1496,16.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.7
85,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,17,2004,12,2,301,3.3,0,1,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,0.6,0.6,1.0,1.5
86,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,31,1989,13,12,1014,11.3,0,1,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,0.8,0.8,0.3,1.1
87,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,31,1989,28,20,1616,18.0,0,2,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.8,0.8,2.0,2.9
88,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30,1991,16,15,1351,15.0,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,0.5,0.6
89,Conor Coady\2928dca2,eng ENG,DF,Wolves,28,1993,38,38,3361,37.3,4,0,4,0,0,4,0,0.11,0.00,0.11,0.11,0.11,2.0,2.0,0.0,2.0
90,Séamus Coleman\0420d84f,ie IRL,DF,Everton,32,1988,30,30,2656,29.5,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,1.0,1.0,1.1,2.1
91,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20,2001,19,18,1670,18.6,2,0,2,0,0,2,1,0.11,0.00,0.11,0.11,0.11,1.6,1.6,0.9,2.5
92,Aaron Connolly\27c01749,ie IRL,FW,Brighton,21,2000,4,1,156,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.8
93,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,29,1991,21,21,1814,20.2,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.1,0.4
94,Jack Cork\74e12f1e,eng ENG,MF,Burnley,32,1989,20,20,1670,18.6,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.8,0.8,0.1,0.9
95,Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,24,1996,26,21,1766,19.6,9,1,9,0,1,2,0,0.46,0.05,0.51,0.46,0.51,6.7,5.9,1.5,7.4
96,Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,27,1994,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
97,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,28,1992,28,25,2209,24.5,0,4,0,0,0,5,1,0.00,0.16,0.16,0.00,0.16,0.6,0.6,2.4,3.0
98,Philippe Coutinho\0ef89a37,br BRA,MFFW,Aston Villa,29,1992,19,16,1329,14.8,5,3,5,0,0,0,0,0.34,0.20,0.54,0.34,0.54,3.7,3.7,3.2,6.9
99,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,31,1989,31,31,2726,30.3,2,3,2,0,0,3,0,0.07,0.10,0.17,0.07,0.17,1.1,1.1,3.2,4.3
100,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,18,2002,5,1,141,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1
101,Cucho\71b47ab9,co COL,FWMF,Watford,22,1999,25,11,1147,12.7,5,2,5,0,0,3,0,0.39,0.16,0.55,0.39,0.55,2.5,2.5,1.9,4.4
102,Marc Cucurella\1daec722,es ESP,DF,Brighton,23,1998,35,35,3089,34.3,1,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,2.7,3.4
103,Luke Cundle\cc3b8e78,eng ENG,MF,Wolves,19,2002,4,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2
104,Patson Daka\ca45605e,zm ZAM,FW,Leicester City,22,1998,23,13,1159,12.9,5,3,5,0,0,2,0,0.39,0.23,0.62,0.39,0.62,4.7,4.7,1.8,6.5
105,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,30,1991,34,34,2919,32.4,1,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,2.0,2.0,2.4,4.3
106,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,22,1999,24,19,1801,20.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.0,1.7
107,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,30,1990,8,8,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
108,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,22,1998,9,2,257,2.9,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2
109,Ben Davies\44781702,wls WAL,DF,Tottenham,28,1993,29,28,2538,28.2,1,1,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,1.8,1.8,0.6,2.3
110,Tom Davies\9228b07c,eng ENG,MF,Everton,23,1998,6,2,234,2.6,1,0,1,0,0,1,0,0.38,0.00,0.38,0.38,0.38,0.9,0.9,0.0,0.9
111,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,23,1998,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
112,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,31,1990,34,30,2754,30.6,2,2,2,0,0,5,1,0.07,0.07,0.13,0.07,0.13,2.9,2.9,0.5,3.3
113,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,30,1991,30,25,2201,24.5,15,8,15,0,0,2,0,0.61,0.33,0.94,0.61,0.94,6.4,6.4,9.5,15.9
114,Troy Deeney\82e34b69,eng ENG,FW,Watford,33,1988,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5
115,Liam Delap\dd897ee7,eng ENG,FW,Manchester City,18,2003,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
116,Fabian Delph\111c3236,eng ENG,MF,Everton,31,1989,11,8,662,7.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1
117,Leander Dendoncker\5a7301ae,be BEL,MF,Wolves,26,1995,30,21,1950,21.7,2,2,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,2.6,2.6,0.9,3.5
118,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,23,1997,33,30,2581,28.7,10,6,10,0,0,9,1,0.35,0.21,0.56,0.35,0.56,7.5,7.5,3.2,10.7
119,Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,22,1998,28,23,2105,23.4,1,3,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17,1.3,1.3,3.0,4.3
120,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,22,1999,23,10,1023,11.4,0,2,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.5,0.5,1.0,1.4
121,Raphael Dias Belloli\3423f250,br BRA,FWMF,Leeds United,24,1996,35,34,2915,32.4,11,3,7,4,4,7,0,0.34,0.09,0.43,0.22,0.31,11.2,8.2,6.8,15.0
122,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,24,1997,29,27,2402,26.7,2,4,2,0,0,5,0,0.07,0.15,0.22,0.07,0.22,2.2,2.2,2.4,4.6
123,Luis Díaz\4a1a9578,co COL,FW,Liverpool,24,1997,13,11,958,10.6,4,3,4,0,0,0,0,0.38,0.28,0.66,0.38,0.66,4.5,4.5,1.8,6.3
124,Eric Dier\ac861941,eng ENG,DF,Tottenham,27,1994,35,35,3071,34.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.4,2.4
125,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,28,1993,13,13,1170,13.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.7,2.1
126,Lucas Digne\1b84dbe1,fr FRA,DF,Aston Villa,28,1993,16,16,1269,14.1,0,4,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,0.6,0.6,2.0,2.6
127,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,30,1991,34,34,3060,34.0,3,1,3,0,0,3,0,0.09,0.03,0.12,0.09,0.12,2.4,2.4,0.4,2.8
128,Issa Diop\a712ca2b,fr FRA,DF,West Ham,24,1997,13,10,963,10.7,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,0.1,0.3
129,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,23,1998,12,5,457,5.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.2,1.7
130,Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,18,2003,3,0,32,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
131,Matt Doherty\d557d734,ie IRL,DF,Tottenham,29,1992,15,9,875,9.7,2,4,2,0,0,0,0,0.21,0.41,0.62,0.21,0.62,2.5,2.5,1.8,4.3
132,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,23,1997,35,35,3063,34.0,5,0,5,0,0,8,1,0.15,0.00,0.15,0.15,0.15,2.7,2.7,0.8,3.5
133,Abdoulaye Doucouré\02b29014,ml MLI,MF,Everton,28,1993,30,29,2537,28.2,2,4,2,0,0,6,0,0.07,0.14,0.21,0.07,0.21,2.7,2.7,2.2,4.9
134,Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,23,1997,19,11,912,10.1,1,1,1,0,0,0,0,0.10,0.10,0.20,0.10,0.20,1.2,1.2,2.0,3.2
135,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,19,2001,3,1,128,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
136,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,32,1989,26,26,2340,26.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1
137,Shane Duffy\7314bba4,ie IRL,DF,Brighton,29,1992,18,15,1436,16.0,1,0,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,1.3,1.3,0.1,1.5
138,Paul Dummett\3fe6bd8c,wls WAL,DF,Newcastle Utd,29,1991,3,2,198,2.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
139,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,29,1991,29,29,2573,28.6,1,0,1,0,0,3,1,0.03,0.00,0.03,0.03,0.03,1.2,1.2,0.2,1.4
140,Ederson\3bb7b8b4,br BRA,GK,Manchester City,27,1993,37,37,3330,37.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1
