Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,21,2000,34,32,2881,32.0,0,2,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,1.4,2.1
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25,1996,30,23,2039,22.7,7,3,7,0,0,0,0,0.31,0.13,0.44,0.31,0.44,7.1,7.1,2.6,9.7
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20,2001,23,20,1828,20.3,1,2,1,0,0,4,0,0.05,0.10,0.15,0.05,0.15,0.7,0.7,1.3,2.1
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23,1998,24,23,1995,22.2,1,3,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18,0.8,0.8,1.4,2.2
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26,1995,14,10,923,10.3,2,0,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,1.1,1.1,0.5,1.6
6,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,31,1989,17,11,1132,12.6,1,2,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,0.5,0.5,1.7,2.2
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30,1991,25,17,1534,17.0,1,4,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29,1.8,1.8,2.3,4.2
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,22,1998,32,32,2853,31.7,2,12,2,0,0,2,0,0.06,0.38,0.44,0.06,0.44,2.7,2.7,11.2,13.9
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,28,1992,36,36,3240,36.0,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.4,0.4
10,Allan\cc700722,br BRA,MF,Everton,30,1991,28,25,2183,24.3,0,2,0,0,0,7,1,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.9,1.1
11,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25,1996,11,1,338,3.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4
12,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25,1996,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.00,0.14,0.00,0.00,1.5,0.7,0.8,1.5
13,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,27,1994,30,19,1716,19.1,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,2.1,2.1,0.7,2.7
14,Marcos Alonso\f4290206,es ESP,DF,Chelsea,30,1990,28,25,2167,24.1,4,4,4,0,0,8,0,0.17,0.17,0.33,0.17,0.33,3.3,3.3,4.6,7.9
15,Steven Alzate\ad1f61f3,co COL,MF,Brighton,22,1998,9,5,404,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3
16,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,26,1994,28,23,2123,23.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2
17,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25,1996,34,32,2916,32.4,0,3,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,2.0,2.6
18,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31,1990,36,34,2971,33.0,10,8,10,0,1,8,1,0.30,0.24,0.55,0.30,0.55,11.1,10.8,6.6,17.5
19,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,20,2001,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
20,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
21,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,24,1997,23,17,1413,15.7,2,2,2,0,0,1,0,0.13,0.13,0.25,0.13,0.25,4.3,4.3,1.7,6.0
22,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29,1992,25,15,1473,16.4,2,0,2,0,0,1,0,0.12,0.00,0.12,0.12,0.12,2.8,2.8,1.4,4.1
23,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,26,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
24,Harrison Ashby\b391383a,sct SCO,DF,West Ham,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
25,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32,1989,14,12,1037,11.5,4,1,4,0,2,3,0,0.35,0.09,0.43,0.35,0.43,5.8,4.1,0.8,5.0
26,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,29,1991,31,23,2019,22.4,3,3,3,0,0,2,0,0.13,0.13,0.27,0.13,0.27,3.7,3.7,2.3,6.1
27,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,29,1991,26,26,2272,25.2,2,2,2,0,0,4,1,0.08,0.08,0.16,0.08,0.16,1.6,1.6,0.8,2.4
28,César Azpilicueta\53cad200,es ESP,DF,Chelsea,31,1989,27,24,2070,23.0,1,2,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13,1.2,1.2,2.1,3.3
29,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27,1994,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
30,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,23,1997,18,7,761,8.5,1,2,1,0,0,3,0,0.12,0.24,0.35,0.12,0.35,1.6,1.6,0.6,2.2
31,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27,1994,4,3,217,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
32,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3
33,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,27,1993,9,7,559,6.2,2,2,2,0,0,2,0,0.32,0.32,0.64,0.32,0.64,3.9,3.9,1.0,4.9
34,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23,1998,22,9,910,10.1,1,1,1,0,0,2,1,0.10,0.10,0.20,0.10,0.20,0.7,0.7,0.5,1.2
35,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,27,1993,6,1,179,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,1.2,1.2,0.7,1.9
36,Ashley Barnes\2691c772,eng ENG,FW,Burnley,31,1989,23,8,808,9.0,1,0,0,1,1,4,0,0.11,0.00,0.11,0.00,0.00,1.8,1.0,1.6,2.6
37,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,23,1997,32,24,2101,23.3,6,10,6,0,0,2,0,0.26,0.43,0.69,0.26,0.69,6.8,6.8,4.0,10.8
38,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,18,2002,3,1,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
39,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,22,1999,11,9,835,9.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5
40,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25,1996,31,30,2629,29.2,4,0,4,0,0,10,0,0.14,0.00,0.14,0.14,0.14,2.4,2.4,0.6,3.0
41,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24,1997,8,0,75,0.8,1,0,1,0,0,0,0,1.20,0.00,1.20,1.20,1.20,0.7,0.7,0.5,1.2
42,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24,1997,7,5,483,5.4,1,0,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,0.9,0.9,0.1,1.0
43,Asmir Begović\7b4de647,ba BIH,GK,Everton,34,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
44,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,25,1995,32,26,2168,24.1,8,6,8,0,0,0,0,0.33,0.25,0.58,0.33,0.58,5.1,5.1,3.2,8.3
45,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24,1997,17,16,1361,15.1,0,4,0,0,0,5,0,0.00,0.26,0.26,0.00,0.26,0.9,0.9,2.3,3.2
46,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,30,1990,25,11,1145,12.7,4,1,4,0,0,3,0,0.31,0.08,0.39,0.31,0.39,5.4,5.4,1.1,6.5
47,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,30,1990,18,13,1102,12.2,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,1.7,1.7,0.3,2.0
48,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,23,1997,25,4,565,6.3,3,1,3,0,0,1,0,0.48,0.16,0.64,0.48,0.64,3.1,3.1,0.7,3.7
49,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,31,1989,4,4,337,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3
50,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,20,2001,4,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
51,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,24,1996,26,25,2111,23.5,1,2,1,0,0,10,0,0.04,0.09,0.13,0.04,0.13,0.9,0.9,0.8,1.7
52,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,30,1991,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3
53,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,24,1996,36,34,2983,33.1,12,10,12,0,0,6,0,0.36,0.30,0.66,0.36,0.66,11.1,11.1,5.7,16.8
54,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19,2002,6,4,388,4.3,1,0,1,0,0,0,1,0.23,0.00,0.23,0.23,0.23,0.4,0.4,0.0,0.4
55,Armando Broja\97220da2,al ALB,FW,Southampton,19,2001,32,21,1975,21.9,6,0,6,0,0,2,0,0.27,0.00,0.27,0.27,0.27,7.0,7.0,1.3,8.4
56,Josh Brownhill\47369df8,eng ENG,MF,Burnley,25,1995,35,32,2955,32.8,2,3,2,0,0,10,0,0.06,0.09,0.15,0.06,0.15,1.4,1.4,2.5,3.9
57,Lewis Brunt\a2081c6b,eng ENG,MF,Leicester City,20,2000,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
58,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,20,2001,9,0,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1
59,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,24,1996,35,22,1899,21.1,4,6,4,0,0,1,0,0.19,0.28,0.47,0.19,0.47,3.1,3.1,5.5,8.6
60,Dan Burn\b2d31e83,eng ENG,DF,Brighton,29,1992,13,12,1022,11.4,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,1.3,1.3,0.0,1.3
61,Dan Burn\b2d31e83,eng ENG,DF,Newcastle Utd,29,1992,16,16,1440,16.0,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,0.1,0.6
62,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28,1993,9,8,765,8.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
63,Sam Byram\1bf811d4,eng ENG,DF,Norwich City,27,1993,15,11,1027,11.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1
64,Willy Caballero\a179d516,ar ARG,GK,Southampton,39,1981,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
65,Moisés Caicedo\16264a81,ec ECU,MF,Brighton,19,2001,8,8,660,7.3,1,1,1,0,0,2,0,0.14,0.14,0.27,0.14,0.27,0.8,0.8,0.4,1.1
66,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,24,1997,17,15,1283,14.3,5,2,3,2,3,2,0,0.35,0.14,0.49,0.21,0.35,6.8,4.6,1.8,6.4
67,Chem Campbell\6f711f67,wls WAL,MF,Wolves,18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
