Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA
464,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,22,1997,37,32,2828,31.4,3,6,3,0,0,2,0,0.10,0.19,0.29,0.10,0.29,3.3,3.3,5.4,8.7
465,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,22,1997,15,12,989,11.0,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.3,0.3,1.1,1.4
466,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,30,1989,18,18,1582,17.6,1,1,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,0.1,1.3
467,Fikayo Tomori\7edfbb8a,eng ENG,DF,Chelsea,21,1997,15,15,1291,14.3,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,0.6,0.6,0.2,0.7
468,Lucas Torreira\52611641,uy URU,MF,Arsenal,23,1996,29,17,1512,16.8,1,1,1,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,1.1,2.8
469,Cenk Tosun\9a104dee,tr TUR,FW,Crystal Palace,28,1991,5,2,177,2.0,1,0,1,0,0,0,0,0.51,0.00,0.51,0.51,0.51,0.7,0.7,0.0,0.7
470,Cenk Tosun\9a104dee,tr TUR,FW,Everton,28,1991,5,2,291,3.2,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,0.7,0.7,0.1,0.9
471,Andros Townsend\b28bbd58,eng ENG,MF,Crystal Palace,28,1991,24,14,1294,14.4,1,1,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,0.4,0.4,2.0,2.4
472,Adama Traoré\9a28eba4,es ESP,FWMF,Wolves,23,1996,37,27,2605,28.9,4,9,4,0,0,1,0,0.14,0.31,0.45,0.14,0.45,3.5,3.5,6.7,10.2
473,Mark Travers\fe558029,ie IRL,GK,Bournemouth,20,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
474,Trézéguet\3ae14ed1,eg EGY,FWMF,Aston Villa,24,1994,34,20,1950,21.7,6,1,6,0,0,4,1,0.28,0.05,0.32,0.28,0.32,3.9,3.9,0.8,4.8
475,Leandro Trossard\38ceb24a,be BEL,FWMF,Brighton,24,1994,31,22,2011,22.3,5,3,5,0,0,0,0,0.22,0.13,0.36,0.22,0.36,4.7,4.7,4.0,8.7
476,Tom Trybull\552aa16c,de GER,MF,Norwich City,26,1993,16,14,1130,12.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5
477,Axel Tuanzebe\2baec6ce,eng ENG,DF,Manchester Utd,21,1997,5,2,189,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
478,Yan Valery\531a4aa8,fr FRA,DF,Southampton,20,1999,11,10,779,8.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,1.1
479,Jesús Vallejo\c2111b45,es ESP,DF,Wolves,22,1997,2,1,163,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
480,Jamie Vardy\45963054,eng ENG,FW,Leicester City,32,1987,35,34,3033,33.7,23,5,19,4,5,2,0,0.68,0.15,0.83,0.56,0.71,20.3,16.5,5.5,22.0
481,Indiana Vassilev\04e195ee,us USA,FWMF,Aston Villa,18,2001,4,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
482,Jan Vertonghen\ba23a904,be BEL,DF,Tottenham,32,1987,23,19,1645,18.3,1,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.3,0.3,1.0,1.2
483,Jannik Vestergaard\1900032e,dk DEN,DF,Southampton,26,1992,19,17,1497,16.6,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.1,1.0
484,Rúben Vinagre\b937e490,pt POR,DF,Wolves,20,1999,16,6,652,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.9
485,Jake Vokins\d484c261,eng ENG,DF,Southampton,19,2000,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1
486,Mario Vrančić\16fa6881,ba BIH,MF,Norwich City,30,1989,20,6,636,7.1,1,0,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14,1.7,1.7,1.1,2.7
487,Matěj Vydra\0d4ceb32,cz CZE,FW,Burnley,27,1992,19,7,819,9.1,2,1,2,0,0,0,0,0.22,0.11,0.33,0.22,0.33,3.7,3.7,1.1,4.9
488,Theo Walcott\1ecb65be,eng ENG,MFFW,Everton,30,1989,25,17,1287,14.3,2,3,2,0,0,1,0,0.14,0.21,0.35,0.14,0.35,2.8,2.8,2.8,5.6
489,Kyle Walker\86dd77d1,eng ENG,DF,Manchester City,29,1990,29,28,2392,26.6,1,4,1,0,0,5,0,0.04,0.15,0.19,0.04,0.19,1.0,1.0,2.1,3.1
490,Kyle Walker-Peters\984a5a64,eng ENG,DF,Southampton,22,1997,10,7,703,7.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6
491,Kyle Walker-Peters\984a5a64,eng ENG,DF,Tottenham,22,1997,3,3,241,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1
492,Aaron Wan-Bissaka\9e525177,eng ENG,DF,Manchester Utd,21,1997,35,34,3070,34.1,0,4,0,0,0,8,0,0.00,0.12,0.12,0.00,0.12,0.9,0.9,2.9,3.7
493,Victor Wanyama\e0900238,ke KEN,MF,Tottenham,28,1991,2,0,25,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
494,Joel Ward\8a7ff278,eng ENG,DF,Crystal Palace,29,1989,29,27,2382,26.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.6
495,James Ward-Prowse\3515d404,eng ENG,MFDF,Southampton,24,1994,38,38,3420,38.0,5,3,4,1,3,9,0,0.13,0.08,0.21,0.11,0.18,7.1,4.6,5.3,9.9
496,Kelland Watts\603e4f0b,eng ENG,DF,Newcastle Utd,19,1999,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
497,Adam Webster\c40b6180,eng ENG,DF,Brighton,24,1995,31,31,2668,29.6,3,1,3,0,0,4,0,0.10,0.03,0.13,0.10,0.13,1.1,1.1,1.0,2.1
498,Danny Welbeck\ce5143da,eng ENG,FWMF,Watford,28,1990,18,8,822,9.1,2,0,2,0,0,0,0,0.22,0.00,0.22,0.22,0.22,3.3,3.3,0.2,3.5
499,Ashley Westwood\495945ef,eng ENG,MF,Burnley,29,1990,35,35,3150,35.0,2,6,2,0,0,9,0,0.06,0.17,0.23,0.06,0.23,1.2,1.2,5.0,6.2
500,Connor Wickham\41cc19c2,eng ENG,FWMF,Crystal Palace,26,1993,6,0,96,1.1,1,1,1,0,0,0,0,0.94,0.94,1.87,0.94,1.87,1.3,1.3,0.5,1.8
501,Georginio Wijnaldum\eb58eef0,nl NED,MF,Liverpool,28,1990,37,35,2935,32.6,4,0,4,0,0,0,0,0.12,0.00,0.12,0.12,0.12,3.1,3.1,1.2,4.3
502,Jetro Willems\9050ddc4,nl NED,DF,Newcastle Utd,25,1994,19,18,1493,16.6,2,2,2,0,0,0,0,0.12,0.12,0.24,0.12,0.24,0.6,0.6,1.2,1.8
503,Brandon Williams\5e74d6c8,eng ENG,DF,Manchester Utd,18,2000,17,11,1006,11.2,1,0,1,0,0,6,0,0.09,0.00,0.09,0.09,0.09,0.7,0.7,0.6,1.3
504,Neco Williams\dd323728,wls WAL,DF,Liverpool,18,2001,6,3,230,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4
505,Willian\8b9ebd03,br BRA,FW,Chelsea,30,1988,36,29,2600,28.9,9,7,5,4,4,4,0,0.31,0.24,0.55,0.17,0.42,7.1,4.0,6.9,10.9
506,Joe Willock\a3b03921,eng ENG,MFFW,Arsenal,19,1999,29,8,857,9.5,1,1,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21,2.3,2.3,0.8,3.2
507,Jack Wilshere\9c318325,eng ENG,MF,West Ham,27,1992,8,2,215,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
508,Callum Wilson\c596fcb0,eng ENG,FW,Bournemouth,27,1992,35,32,2908,32.3,8,1,8,0,0,10,0,0.25,0.03,0.28,0.25,0.28,10.0,10.0,3.1,13.1
509,Harry Wilson\c6dc9ecd,wls WAL,MFFW,Bournemouth,22,1997,31,20,1646,18.3,7,0,7,0,0,2,0,0.38,0.00,0.38,0.38,0.38,4.5,4.5,1.6,6.1
510,Harry Winks\2f7acede,eng ENG,MF,Tottenham,23,1996,31,26,2221,24.7,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.1,1.6
511,Chris Wood\4e9a0555,nz NZL,FW,Burnley,27,1991,32,29,2437,27.1,14,1,13,1,1,1,0,0.52,0.04,0.55,0.48,0.52,13.0,12.2,0.9,13.1
512,Granit Xhaka\e61b8aee,ch SUI,MF,Arsenal,26,1992,31,30,2586,28.7,1,2,1,0,0,10,0,0.03,0.07,0.10,0.03,0.10,0.3,0.3,1.1,1.4
513,Andriy Yarmolenko\849c826a,ua UKR,MFFW,West Ham,29,1989,23,10,991,11.0,5,1,5,0,0,2,0,0.45,0.09,0.54,0.45,0.54,2.1,2.1,2.7,4.7
514,DeAndre Yedlin\ae0a7ddf,us USA,DF,Newcastle Utd,26,1993,16,10,938,10.4,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.7,0.7,0.3,1.0
515,Maya Yoshida\caffaf5a,jp JPN,DF,Southampton,30,1988,8,6,560,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5
516,Ashley Young\be927d03,eng ENG,DF,Manchester Utd,34,1985,12,10,955,10.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.2,1.4
517,Pablo Zabaleta\6813ac34,ar ARG,DF,West Ham,34,1985,10,6,592,6.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4
518,Wilfried Zaha\b2bc3b1f,ci CIV,MFFW,Crystal Palace,26,1992,38,37,3280,36.4,4,3,4,0,0,5,0,0.11,0.08,0.19,0.11,0.19,5.3,5.3,3.3,8.6
519,Christoph Zimmermann\2d5f03bf,de GER,DF,Norwich City,26,1993,17,16,1430,15.9,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,0.1,0.4
520,Oleksandr Zinchenko\51cf8561,ua UKR,DF,Manchester City,22,1996,19,13,1276,14.2,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.7,2.1
521,Richairo Živković\d2d74d9c,nl NED,FW,Sheffield Utd,22,1996,5,0,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2
522,Kurt Zouma\ce4246f5,fr FRA,DF,Chelsea,24,1994,28,25,2344,26.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0
