Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA
362,Andreas Pereira\6639e500,br BRA,MFFW,Manchester Utd,23,1996,25,18,1484,16.5,1,3,1,0,0,3,0,0.06,0.18,0.24,0.06,0.24,2.3,2.3,3.8,6.1
363,Ricardo Pereira\75a72a99,pt POR,DF,Leicester City,25,1993,28,28,2520,28.0,3,2,3,0,0,1,0,0.11,0.07,0.18,0.11,0.18,1.1,1.0,3.6,4.6
364,Roberto Pereyra\75f2c59f,ar ARG,FWMF,Watford,28,1991,28,17,1648,18.3,3,0,2,1,1,4,0,0.16,0.00,0.16,0.11,0.11,2.5,1.7,1.8,3.5
365,Ayoze Pérez\819aa8e7,es ESP,MFFW,Leicester City,26,1993,33,26,2004,22.3,8,4,7,1,1,0,0,0.36,0.18,0.54,0.31,0.49,5.7,4.9,4.0,8.9
366,Jordan Pickford\4806ec67,eng ENG,GK,Everton,25,1994,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1
367,Brandon Pierrick\9a526299,eng ENG,DFFW,Crystal Palace,17,2001,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1
368,Erik Pieters\1ef37668,nl NED,DFMF,Burnley,30,1988,24,21,1878,20.9,0,4,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.6,0.6,2.8,3.4
369,Daniel Podence\7fcc71d8,pt POR,FWMF,Wolves,23,1995,9,3,289,3.2,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,1.6,1.6,0.4,2.0
370,Paul Pogba\867239d3,fr FRA,MF,Manchester Utd,26,1993,16,13,1204,13.4,1,3,1,0,1,1,0,0.07,0.22,0.30,0.07,0.30,2.0,1.2,2.7,3.9
371,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,27,1992,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6
372,Dennis Praet\86695068,be BEL,MF,Leicester City,25,1994,27,12,1134,12.6,1,2,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24,1.4,1.4,0.8,2.2
373,Sebastian Prödl\f5e6d08d,at AUT,DF,Watford,32,1987,1,1,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1
374,Davy Pröpper\fdd85f94,nl NED,MF,Brighton,27,1991,35,32,2829,31.4,1,2,1,0,0,4,0,0.03,0.06,0.10,0.03,0.10,1.3,1.3,2.1,3.4
375,Teemu Pukki\0745b37d,fi FIN,FW,Norwich City,29,1990,36,33,2886,32.1,11,3,9,2,2,3,0,0.34,0.09,0.44,0.28,0.37,12.1,10.6,3.1,13.6
376,Christian Pulisic\1bf33a9a,us USA,FW,Chelsea,20,1998,25,19,1722,19.1,9,4,9,0,0,0,0,0.47,0.21,0.68,0.47,0.68,8.2,8.2,3.5,11.6
377,Ignacio Pussetto\62437b4f,ar ARG,FWDF,Watford,23,1995,7,0,74,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
378,Domingos Quina\41fb0f4e,pt POR,MF,Watford,19,1999,4,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
379,Aaron Ramsdale\466fb2c5,eng ENG,GK,Bournemouth,21,1998,37,37,3330,37.0,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.1,0.1
380,Darren Randolph\6385ebfb,ie IRL,GK,West Ham,32,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
381,Marcus Rashford\a1d5bd30,eng ENG,FW,Manchester Utd,21,1997,31,31,2643,29.4,17,7,11,6,8,3,0,0.58,0.24,0.82,0.37,0.61,17.3,11.2,4.6,15.8
382,Nathan Redmond\ab651565,eng ENG,MFFW,Southampton,25,1994,32,32,2762,30.7,4,4,4,0,0,2,0,0.13,0.13,0.26,0.13,0.26,5.0,5.0,3.2,8.2
383,Pepe Reina\e358587b,es ESP,GK,Aston Villa,36,1982,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
384,Declan Rice\1c7012b8,eng ENG,MF,West Ham,20,1999,38,38,3420,38.0,1,3,1,0,0,6,0,0.03,0.08,0.11,0.03,0.11,1.1,1.1,1.5,2.6
